date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-06-15,3302118.4571020543,3140947.170443153,3319011.6239431505,3453624.595943147
2025-06-16,3302472.3568000696,3120718.2251411634,3293812.3691411666,3434097.8616411625
2025-06-17,3319917.3810002743,3145604.095341374,3308701.337841375,3459604.9313413706
2025-06-18,3324559.460762056,3177302.3404031536,3357049.7588531496,3485648.7582531474
2025-06-19,3308920.824532193,3151133.3773232894,3297905.154373292,3457496.784373291
2025-06-20,3320025.336240958,3160970.842082051,3331528.5298320525,3456370.9640820483
2025-06-21,3315424.7084898646,3138317.0230309563,3317846.330080959,3464364.057330963
2025-06-22,3317041.4594804808,3140334.527821572,3317172.0100715747,3470157.379521574
2025-06-23,3334417.596236439,3193139.093377536,3365651.2160775424,3473568.986927535
2025-06-24,3291194.280106166,3142275.8617972634,3298851.995447261,3421688.0722972634
2025-06-25,3305512.230466851,3162418.767957947,3302386.8375579454,3438389.6443079463
2025-06-26,3305972.296431507,3114180.235622606,3311796.1042726054,3481432.836772599
2025-06-27,3298910.593742328,3118196.1240834217,3287653.681083425,3434879.376483425
2025-06-28,3307635.955740821,3085728.194581917,3303401.925581916,3440798.6324819163
2025-06-29,3314346.131468492,3153699.4982095845,3318669.8990595895,3465249.989309587
2025-06-30,3311431.176624178,3152376.682465271,3315628.4797152746,3469924.7728652726
2025-07-01,3304130.083340962,3156872.9629820595,3312531.208932056,3436259.2154320558
2025-07-02,3302866.8066291814,3154920.567970279,3314463.475720276,3473613.292170283
2025-07-03,3303954.7418369898,3138983.3895780835,3309412.4179280847,3428895.7381280866
2025-07-04,3306523.9493291127,3158294.6493202103,3314321.6416702103,3444641.391170208
2025-07-05,3305496.5751957577,3147778.8239868544,3312232.8182868566,3456460.6611368526
2025-07-06,3305453.209578565,3144281.9229196636,3302334.2566696564,3466444.1107196566
2025-07-07,3305160.7840701393,3151703.529861235,3302863.9851612337,3443278.2259112345
2025-07-08,3304759.3448019205,3160374.067193017,3319816.8373930156,3453165.481893019
2025-07-09,3306691.164810278,3145519.8781513767,3305960.3931513736,3449676.4596513733
2025-07-10,3308579.2249204144,3162315.448511513,3306282.426011509,3440394.6271615075
2025-07-11,3308225.495251237,3147818.2265923303,3317374.7205923335,3465966.0693423324
2025-07-12,3259412.3894645213,3128748.8503056183,3278995.353305619,3411597.563105614
2025-07-13,3274867.504806988,3116572.9371980843,3284383.4818980834,3442378.6053480846
2025-07-14,3284569.8357537705,3142015.5705948668,3284700.3863448645,3420361.4370948668
2025-07-15,3286018.6453353455,3138782.689276444,3283699.7371764393,3425218.277876441
2025-07-16,3288152.762408836,3127359.336849933,3294889.005499935,3424608.3304499327
2025-07-17,3275813.9121624655,3132907.389903562,3280398.589003563,3411605.5135035617
2025-07-18,3289137.9072634242,3161320.789204522,3324022.6846045195,3420588.0926545206
2025-07-19,3278199.8393835616,3136921.336524659,3270061.975724655,3447157.1627246556
2025-07-20,3275599.612876233,3094885.1432173266,3284003.083217329,3436590.514017325
